DOI	volume	received	accepted	online	title	authors
10.1007/s12517-021-07967-7	14	02-Jun-21	10-Jul-21	16-Aug-21	Air pollution atmospheric environment detection and global tourism line planning management based on genetic algorithm	"Chen, Li"
10.1007/s12517-021-08021-2	14	04-Jun-21	15-Jul-21	17-Aug-21	Detection of rare earth elements in groundwater based on SAR imaging algorithm and fatigue intervention of dance training	"Zhang, Can"
10.1007/s12517-021-08179-9	14	11-Jun-21	31-Jul-21	18-Aug-21	Urban air pollution resolution and basketball training optimization based on time convolution network	"Han, Changsong"
10.1007/s12517-021-08055-6	14	12-Mar-21	18-Jul-21	16-Aug-21	Analyzing the micro-pore characteristics of tight oil reservoirs through the implementation of mercury intrusion technique	"Jiang, Meiling; Zhang, Yunfeng; Liu, Yang"
10.1007/s12517-021-08170-4	14	05-May-20	01-Aug-21	16-Aug-21	Stratigraphy and structural style of Souk Ahras foreland fold-thrust belt in northeastern Algeria	"Chabbi, Abdallah; Chermiti, Asma; Brusset, Stéphane"
10.1007/s12517-021-07983-7	14	27-Jan-21	14-Jul-21	18-Aug-21	Groundwater withdrawal adjustment based on changes in groundwater balance components (a case study: an arid region in central Iran)	"Zareian, Mohammad Javad; Eslamian, Saeid"
10.1007/s12517-021-07825-6	14	27-Jul-20	30-Jun-21	16-Aug-21	Catchment-level agricultural drought hazard vulnerability analysis of Ganga Basin (India) using spectral indices	"Banerjee, Subhro; Pandey, Arvind Chandra"
10.1007/s12517-021-08004-3	14	05-Jun-21	15-Jul-21	13-Aug-21	Analysis of coastal rainfall pattern based on artificial intelligence and global cultural communication	"Huaping, Liang"
10.1007/s12517-021-08007-0	14	06-Jun-21	15-Jul-21	14-Aug-21	Groundwater pollution prevention based on improved particle swarm algorithm and sports training optimization	"Lin, Zhenggen; Fu, Xingchen; Gu, Boxiao; Fu, Zhemin"
10.1007/s12517-021-08187-9	14	03-Jun-21	31-Jul-21	14-Aug-21	Numerical simulation of ocean sea temperature based on feature prediction and monitoring of coastal running health data	"Huang, Shan; Li, Xu"
10.1007/s12517-021-08232-7	14	05-Jun-21	06-Aug-21	31-Aug-21	Diesel engine emission characteristics for cotton seed (CS) trimethylolpropane (TMP) ester (CSTE) as lubricant	"Siraskar, Gulab; Wakchaure, Vishnu; Jahagirdar, Ramchandra"
10.1007/s12517-021-08094-z	14	11-Jun-21	21-Jul-21	26-Aug-21	Slope rainfall environment characteristics based on target tracking algorithm and economic efficiency of green city	"Zhan, Yujie; Li, Xinchun"
10.1007/s12517-021-08206-9	14	06-May-21	02-Aug-21	25-Aug-21	Design and implementation of smart home energy management systems using green energy	"Zhen, Ying; Maragatham, T.; Mahapatra, Rajendra Prasad"
10.1007/s12517-021-08178-w	14	11-Jun-21	31-Jul-21	25-Aug-21	Correlation of air pollutants and prediction of physical fitness index based on wireless sensor network	"Ping, Na; Sun, Pengfei; Kang, Qian"
10.1007/s12517-021-07898-3	14	01-Jun-21	07-Jul-21	09-Aug-21	Mechanical properties of loess in mountainous area based on fuzzy clustering and construction of basketball venues	"Hao, Zehua; Liu, Xiaoming"
10.1007/s12517-021-08192-y	14	19-Jan-21	02-Aug-21	10-Aug-21	Multi-objective optimization of erosion parameters of erodible soils using Taguchi-based gray relation analysis	"Reddy, Joga Jayaprakash; Varaprasad, B. J. S.; Reddy, P. Venkateshwar"
10.1007/s12517-021-08018-x	14	04-Jun-21	15-Jul-21	05-Aug-21	Real-time water quality prediction model based on variance statistics and measurement of college students’ physical health	"Zhang, Guoqing; Peng, Yu; Li, Jun"
10.1007/s12517-021-07986-4	14	28-Jan-21	14-Jul-21	05-Aug-21	Improvement of sandy soil to prevent hydraulic failure using BCF fibers and geotextiles	"Langroudi, Shayan Ghasemian; Zad, Amirali; Rajabi, Ali M."
10.1007/s12517-021-07991-7	14	07-Apr-21	14-Jul-21	06-Aug-21	"Flash flood hazard assessment and prioritization of sub-watersheds in Heliopolis basin, East Cairo, Egypt"	"El-Fakharany, Mohammed AbdAllah; Hegazy, Mohammed Nagib; Mansour, Nehad Mahmoud; Abdo, Amira Mohamed"
10.1007/s12517-021-08336-0	14	01-Dec-20	19-Aug-21	02-Sep-21	Subsurface drain spacing in the unsteady conditions by HYDRUS-3D and artificial neural networks	"Ostad-Ali-Askari, Kaveh; Shayan, Mohammed"
10.1007/s12517-021-07583-5	14	03-Aug-20	09-Jun-21	07-Aug-21	Completeness of landslide inventory and landslide susceptibility mapping using logistic regression method in Ceyhan Watershed (southern Turkey)	"Tekin, Senem"
10.1007/s12517-021-07951-1	14	03-Jun-21	10-Jul-21	08-Aug-21	Application of land ecological environment risk assessment based on SAR image	"Ji, Wenguang; Cui, Juanmin"
10.1007/s12517-021-07812-x	14	30-Jan-21	01-Jul-21	07-Aug-21	Spatio-temporal trend analysis of solid precipitation in Northwest Iran	"Ostadi, Elnaz; Jahanbakhsh, Saeed; Rostamzadeh, Hashem; Rezaibanafsheh, Majid; Khorshiddust, Ali Mohammad"
10.1007/s12517-021-08147-3	14	17-Apr-21	28-Jul-21	06-Aug-21	Spatial distribution and regional accessibility measurement of financial services in china	"Pan, Jixi; Huang, Weilun; Li, Xuan; Li, Ruyue"
10.1007/s12517-021-07895-6	14	02-Jun-21	07-Jul-21	11-Aug-21	Marine atmospheric anomaly detection-based on GIS and research on process product design	"Wang, Jin"
10.1007/s12517-021-08136-6	14	18-Mar-21	26-Jul-21	06-Aug-21	Simulation of hyperspectral image with existing Sentinel and AVIRIS data using distance functions	"Peddinti, Veerendra Satya Sylesh; Mandla, Venkata Ravibabu; Mesapam, Shashi; Kancherla, Suresh"
10.1007/s12517-021-08060-9	14	11-Mar-21	18-Jul-21	12-Aug-21	Image detection of mountain soil loss and human avoidance trajectory based on cloud computing and machine learning	"Lei, Xuefeng"
10.1007/s12517-021-08184-y	14	11-Jun-21	31-Jul-21	13-Aug-21	Rainfall soil erosion based on color image super resolution and rural revitalization design	"Li, Na; Li, Duanru; Luo, Guanlin"
10.1007/s12517-021-08035-w	14	02-Jun-21	15-Jul-21	12-Aug-21	Rainfall-type landslide warning and sports public service performance evaluation based on data anomaly detection	"Dai, Ni; Zhang, Yi"
10.1007/s12517-021-08116-w	14	11-Jun-21	22-Jul-21	12-Aug-21	Sensitivity of mountain landslide based on Markov model and aerobic training management	"Zhao, Quan; Liu, Ge; Meng, Jiawei"
10.1007/s12517-021-08197-7	14	09-May-20	02-Aug-21	16-Aug-21	"Petro-physical evaluation and identifying possible resource plays using the porosity and resistivity logs, Lower Indus Basin, Pakistan"	"Din, Nizam Ud; Hongbing, Zhang; Kashif, Muhammad; Saeed, Wasif"
10.1007/s12517-021-08169-x	14	27-Mar-21	01-Aug-21	23-Aug-21	Image recognition of coastal environment and aerobics sports based on remote sensing images based on deep learning	"Liu, Min"
10.1007/s12517-021-08270-1	14	02-Apr-18	02-Aug-21	24-Aug-21	Enhancing oil recovery through immiscible water-alternating-CO2 in tight oil formations—a case study of Yaoyingtai Field in China	"Liu, Hua; Chen, Lin; Li, Xiangfang; Wang, Hongya; Sun, Zheng"
10.1007/s12517-021-07831-8	14	28-Aug-20	04-Jun-21	17-Aug-21	"Investigating relationship between soil moisture, hydro-climatic parameters, vegetation, and climate change impacts in a semi-arid basin in Iran"	"Saadatabadi, Abbas Ranjbar; Izadi, Naser; Karakani, Elaheh Ghasemi; Fattahi, Ebrahim; Shamsipour, Ali Akbar"
10.1007/s12517-021-08182-0	14	11-Jun-21	31-Jul-21	17-Aug-21	Geochemical characteristics of South China Sea based on random forest algorithm and Wushu teaching action simulation	"Jianyun, Han"
10.1007/s12517-021-08224-7	14	10-Jun-21	06-Aug-21	24-Aug-21	Adsorption of CO2 by nitrogen doped corn straw based biochar	"Zhou, Yunlong; Wang, Jian; Sun, Meng; Li, Weihao; Hu, Xiaotian"
10.1007/s12517-021-08239-0	14	12-Apr-21	06-Aug-21	24-Aug-21	"A review of polymeric chitin extraction, characterization, and applications"	"Hossin, Mohammed Amzad; Al Shaqsi, Noura Hamed Khalifa; Al Touby, Salem Said Jaroof; Al Sibani, Mohammed Abdullah"
10.1007/s12517-021-08183-z	14	11-Jun-21	31-Jul-21	20-Aug-21	The change of rainfall and atmosphere characteristics based on target tracking algorithm and real-time monitoring of college students’ physical training	"Xianfeng, Wang"
10.1007/s12517-021-08166-0	14	05-May-21	01-Aug-21	21-Aug-21	Landslide assessment by using multi-temporal UAV datasets: a case study in northern Pakistan	"Ahmad, Naseem; Shafique, Muhammad; Hussain, Mian Luqman"
